serial ['siəriəl] a.连续的，一系列的
sermon ['sə:mən] n.布道，说教，训诫
serrate ['serit] a.锯齿状的
serrated [se'reitid] a.呈锯齿状的
serried ['serid] a.(人或物的行列)密集的
serviceable ['sə:visəbl] a.可用的，耐用的
servile ['sə:vail] a.奴性的，百依百顺的
servitude ['sə:vitju:d] n.奴役，劳役
setback ['setbæk] n.挫折，阻碍成功的事物
settle ['setl] v.安置于；决定，解决；栖息，停歇一时
settled ['setld] a.固定的
sever ['sevə] v.切断，脱离
severe [si'viə] a.严格的；凶猛的，猛烈的
sewer ['sjuə] n.排水沟，下水道；缝纫者
sextant ['sekstənt] n.六分仪(航海定向仪器)
shackle ['ʃækl] n.脚镣，枷锁
shale [ʃeil] n.页岩(一种由似泥土细粒的沉淀物层组成的易分裂的岩石)
sham [ʃæm] n.虚假，装出来的东西；v.伪装
shambles ['ʃæmblz] n.凌乱景象，杂乱无章
shard [ʃɑ:d] n.(陶器等)碎片
shattered ['ʃætəd] a.(事物，想法，希望)粉碎的；破坏的
shavings ['ʃeiviŋs] n.刨花
shear [ʃiə] v.剪(羊毛)，剪发
sheath [ʃi:θ] n.(刀、剑)鞘、套
sheathe [ʃi:ð] v.将(刀，剑等)插入鞘
shed [ʃed] v.流出(眼泪等)；脱落(叶子)
sheer [ʃiə] a.完全的；陡峭的；极薄的
shell [ʃel] n.贝壳；炮弹；v.剥去„的壳
shelter ['ʃeltə] n.掩蔽处；掩蔽；v.提供庇护，保护
shelve [ʃelv] v.(物品，事情)搁置
sheriff ['ʃerif] n.警长，县治安官，司法长官
shield [ʃi:ld] n.盾；v.庇护，遮挡
shiftiness ['ʃiftinis] n.奸诈
shiftless ['ʃiftlis] a.没有志向的；偷懒的；无能的
shingle ['ʃiŋɡl] n.木瓦，屋顶板；木质小招牌
shipshape ['ʃipʃeip] a.整洁的，井然有序的
shirk [ʃə:k] v.逃避
shoal [ʃəul] n.浅滩，浅水处；一群(鱼等)；a.水浅的
shoddy ['ʃɔdi] n.劣质的，冒充好货的
shoot [ʃu:t] n.嫩芽，新芽
shoplift ['ʃɔp,lift] v.在商店里偷窃货品
shopworn ['ʃɔpwɔ:n] a.（在商店中陈列过久而)旧了的
shoulder ['ʃəuldə] n.肩；路肩(公路两侧供车辆紧急停靠的地方)
shove [ʃʌv] v.推挤，猛推
shrewd [ʃru:d] a.判断准确的，精明的
shriek [ʃri:k] v.尖叫
shrine [ʃrain] n.神坛，圣地
shrink [ʃriŋk] v.收缩，皱缩
shroud [ʃraud] n.寿衣，裹尸布；遮蔽物；v.覆盖
shrub [ʃrʌb] n.灌木
shrug [ʃrʌɡ] v.耸肩(表示怀疑等)
shuck [ʃʌk] n.(植物的)壳，夹；无用之物
shudder ['ʃʌdə] v./n.(因寒冷、恐惧等)战栗，发抖
shun [ʃʌn] v.避免，回避
shunt [ʃʌnt] v.使(火车)转到另一轨道，转移方向
sibilant ['sibilənt] a.发出咝咝声的
sibling ['sibliŋ] n.兄弟或姊妹
sibyl ['sibil] n.女预言家，女先知
sidereal [sai'diəriəl] a.(天文)恒星的
sideshow ['saidʃəu] n.(马戏团，游乐场的)杂耍，穿插表演
sidestep ['saidstep] v.横跨一步以躲避；回避
siege [si:dʒ] n.包围，围攻
sift [sift] v.筛，过滤
signal ['siɡnl] n.信号；v.发信号；a.(好或坏)显著的
significant [siɡ'nifikənt] a.相当数量的；意义重大的
signify ['siɡnifai] v.表示；有重要性
sill [sil] n.门槛；窗台
silt [silt] n.淤泥，淤沙
silversmith ['silvəsmiθ] n.银匠
simper ['simpə] v.痴笑，傻笑
simpleton ['simpltən] n.笨蛋
simulate ['simjuleit] v.假装，模仿
simultaneous [,siməl'teinjəs] a.同时发生的
sincere [sin'siə] a.诚实的，正直的；真挚的，纯净的
sinecure ['sainikjuə] n.挂名差事，工作清闲但领薪的职位
sinew ['sinju:] n.腱，肌肉；力量
singe [sindʒ] v.(轻微地)烧焦，烫焦
singularity [,siŋɡju'læriti] n.独特，奇特；奇点(天文学上密度无穷大、体积无穷小的点)
sinuous ['sinjuəs] a.蜿蜒的，迂回的
sip [sip] v.啜饮
siren ['saiərin] n.汽笛，警报器
skeleton ['skelitən] n.骨架，骨骼；提纲，纲要
sketchy ['sketʃi] a.概略的，粗略的
skew [skju:] a.不直的，歪斜的
skewer ['skjuə] n.(烤肉用的)穿肉杆；v.用杆穿好
skiff [skif] n.轻舟，小船
skillet ['skilit] n.煎锅
skim [skim] v.从液体表面撇去(油脂，乳沫等)；浏览，略读
skimp [skimp] v.节省花费
skinflint ['skinflint] n.吝啬鬼
skirmish ['skə:miʃ] n.小规模战斗；(人)小争吵
skirt [skə:t] v.环绕以逃避
skit [skit] n.(模仿取笑某人或某事的)幽默讽刺短剧
skyscraper ['skaiskreipə] n.摩天大楼
slab [slæb] n.厚板，厚块
