typographical [,taipə'ɡræfikəl] a.印刷上的
tyranny ['tirəni] n.暴政，专制统治；暴行
tyrant ['taiərənt] n.暴君
tyro ['taiərəu] n.新手
ubiquitous [ju:'bikwitəs] a.无所不在的
ugly ['ʌɡli] a.难看的，可怕的
ulcer ['ʌlsə] n.溃疡；腐烂物
ultimate ['ʌltimit] a.最后的
umbrage ['ʌmbridʒ] n.不快，感到受了侮辱或冒犯
umpire ['ʌmpaiə] n.裁判；v.对„进行仲裁
unaffected [,ʌnə'fektid] a.自然的，不矫揉造作的
unanimous [ju(:)'næniməs] a.全体意见一致的
unassuming ['ʌnə'sju:miŋ] a.不摆架子的，不造作的
unbecoming ['ʌnbi'kʌmiŋ] a.不合身的；不得体的，不适当的
unbend ['ʌn'bend] v.弄直；放松，变得随便
uncanny [ʌn'kæni] a.不可思议的，异乎寻常的
uncommitted ['ʌnkə'mitid] a.不受约束的；不承担责任的
unconscionable [ʌn'kɔnʃənəbl] a.无节制的，过度的，不合理的
unconscious [ʌn'kɔnʃəs] a.不省人事的；未意识到的
uncouth [ʌn'ku:θ] a.粗野笨拙的，无教养的；拙于说话的
unctuous ['ʌŋktjuəs] a.油质的；油腔滑调的
underbid ['ʌndə'bid] v.要价过低
undercut ['ʌndəkʌt] v.削价与(竞争者)抢生意
underdog ['ʌndədɔɡ] n.处于劣势的人或国家
underestimated ['ʌndər'estimeitid] a.低估的
undergird ['ʌndə'ɡə:d] v.从底部加强，加固
underhanded ['ʌndəhændid] a.不光明的，卑鄙的
underling ['ʌndəliŋ] n.下属，手下
underlying ['ʌndə'laiiŋ] a.在下面的，根本的
undermine [,ʌndə'main] v.(从根基处)破坏，损坏
underplay ['ʌndə'plei] v.淡化„的重要性；表演(角色)不充分
underrate [ʌndə'reit] v.低估，轻视，对„评价过低
underscore [,ʌndə'skɔ:] v.在„之下划线；强调
understate ['ʌndə'steit] v.掩饰地说，轻描淡写地说
understated ['ʌndə'steitid] a.不完全陈述的，轻描淡写的
understatement [,ʌndə'steitmənt] n.轻描淡写的陈述，不充分的陈述
understudy ['ʌndə,stʌdi] n.预备演员，替角；v.充当„的替角
underutilized [,ʌndə'ju:tilaizd] a.未充分利用的
underwrite ['ʌndərait] v.同意负担„的费用；为„保险
undeserved [ʌndi'zə:vd] a.不应得的，不公平的
undesirable ['ʌndi'zaiərəbl] a.令人不悦的，讨厌的；不想要的
undirected ['ʌndi'rektid] a.未受指导的
unearth ['ʌn'ə:θ] v.挖出；发现
unearthly [ʌn'ə:θli] a.奇异的，超自然的
unenlightened ['ʌnin'laitnd] a.愚昧无知的；不文明的
unexceptionable ['ʌnik'sepʃənəbl] a.无可非议的
unfailing [ʌn'feiliŋ] a.无尽的，无穷的
unfasten ['ʌn'fɑ:sn] v.解开
unfeigned [ʌn'feind] a.真实的；不作假的
unflappable ['ʌn'flæpəbl] a.不惊慌的，镇定的
unfold [ʌn'fəuld] v.展开，打开；逐渐呈现
unfounded ['ʌn'faundid] a.无事实根据的
ungainly [ʌn'ɡeinli] a.笨拙的
ungrudging ['ʌn'ɡrʌdʒiŋ] a.慷慨的
unguent ['ʌŋɡwənt] n.药膏，软膏
unicorn ['ju:nikɔ:n] n.(传说中的)独角兽
unidimensional ['ju:nidi'menʃənl] a.一方面的；一维的
unification [,ju:nifi'keiʃən] n.统一，一致
uniform ['ju:nifɔ:m] n.制服；a.相同的，一致的
unify ['ju:nifai] v.统一，使成一体；使相同
unimpassioned ['ʌnim'pæʃənd] a.没有激情的
unimpeachable [,ʌnim'pi:tʃəbl] a.无可指摘的，无可置疑的
uninitiated [ʌni'niʃieitid] a.外行的，缺乏经验的
unique [ju:'ni:k] a.独一无二的，独特的
univocal [,ju:ni'vəukəl] a.单一意思的，意思明确的
unjustified [ʌn'dʒʌstifaid] a.未被证明为正当的，无法解释的
unjustly [ʌn'dʒʌstli] adv.不正当地，不公平地
unkempt ['ʌn'kempt] a.(衣服、头发)不整洁的
unleash ['ʌn'li:ʃ] v.发泄，释放
unmitigated [ʌn'mitiɡeitid] a.未缓和的，未减轻的，全然的
unmoved ['ʌn'mu:vd] a.无动于衷的，冷漠的；镇定的
unnoticed ['ʌn'nəutist] a.不引人注意的
unobtrusive ['ʌnəb'tru:siv] a.不引人注目的
unpalatable [ʌn'pælətəbl] a.令人讨厌的，令人无法认同的
unprecedented [ʌn'presidəntid] a.前所未有的
unpremeditated ['ʌnpri'mediteitid] a.非预谋的
unprepossessing [ʌnpri:pə'zesiŋ] a.不吸引人的
unpretentious [ʌnpri'tenʃəs] a.不炫耀的，不招摇的
unprincipled [ʌn'prinsəpld] a.肆无忌惮的，不道德的
unproductive ['ʌnprə'dʌktiv] a.徒然的，无成效的
unprovoked ['ʌnprə'vəukt] a.(生气等)无缘无故的
unqualified ['ʌn'kwɔlifaid] a.无资格的；无限制的，绝对的
unravel [ʌn'rævəl] v.解开，拆散
unregenerate [ʌnri'dʒenərət] a.不知悔改的
unregulated [ʌn'reɡjuleitid] a.未受管理的，未受约束的
unremitting ['ʌnri'mitiŋ] a.不间断的，持续的
unrepentant ['ʌnri'pentənt] a.不悔悟的，不后悔的
unrequited ['ʌnri'kwaitid] a.无报答的，无回报的
unreserved ['ʌnri'zə:vd] a.无限制的；未被预定的
unscathed ['ʌn'skeiðd] a.未受损伤的，未遭伤害的
unscented [,ʌn'sentid] a.无气味的
unscrupulous [ʌn'skru:pjuləs] a.肆无忌惮的，无道德原则的
unseemly ['ʌn'si:mli] a.不适当的，不宜的
unsettle ['ʌn'setl] v.使不安宁，搅乱
unsettling ['ʌn'setliŋ] a.令人不安的，扰乱的，使窘困的
unsound ['ʌn'saund] a.不结实的，不坚固的；无根据的
unspoiled [ʌn'spɔild] a.未损坏的，未宠坏的
unspotted ['ʌn'spɔtid] a.清白的，无污点的
unstinting ['ʌn'stintiŋ] a.极为慷慨的，大方的
unsubstantiated ['ʌnsəb'stænʃieitid] a.未经证实的，无事实根据的
untapped [ʌn'tæpt] a.未开发的，未利用的
unthreatening ['ʌn'θretəniŋ] a.不威胁的
untimely [ʌn'taimli] a.过早的；不适时的
untold ['ʌn'təuld] a.无数的，数不清的
untoward [ʌn'təuəd] a.不幸的，(坏事)没料到的
untutored ['ʌn'tju:təd] a.未经教育的
unwarranted ['ʌn'wɔrəntid] a.没有根据的，不应当的
unwieldy [ʌn'wi:ldi] a.笨重的，笨拙的
unwitting [,ʌn'witiŋ] a.无心的，不经意的
unwonted [ʌn'wəuntid] a.不寻常的；不习惯的
